name,slug,region,alcohol_consumption_per_capita,birth_rate,children_under_the_age_of_5_years_underweight,death_rate,education_expenditures,infant_mortality_rate,life_expectancy_at_birth,maternal_mortality_ratio,median_age,net_migration_rate,obesity_adult_prevalence_rate,population_total,population_growth_rate,tobacco_use,total_fertility_rate
Virgin Islands,virgin-islands,Central America and the Caribbean,,11.1,,9.2,,7.3,80.7,,43.0,-7.3,,104377,-0.54,,1.97
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,South America,,10.9,,4.9,,,,,,,,3662,0.01,,
Bermuda,bermuda,North America,,10.9,,9.3,1.9,2.1,82.5,,43.8,1.4,,72800,0.3,,1.88
British Virgin Islands,british-virgin-islands,Central America and the Caribbean,,10.9,,5.5,2.6,13.4,80.1,,38.5,12.9,,40102,1.82,,1.38
Isle of Man,isle-of-man,Europe,,10.4,,10.2,,4.1,82.5,,44.9,4.3,,92269,0.45,,1.88
Liechtenstein,liechtenstein,Europe,,10.3,,8.2,2.6,3.9,83.0,,44.2,4.7,,40272,0.69,,1.69
Guernsey,guernsey,Europe,,9.7,,9.2,,3.3,83.6,,45.0,1.6,,67787,0.21,,1.59
Saint Barthelemy,saint-barthelemy,Central America and the Caribbean,,9.3,,9.5,,6.5,81.0,,47.4,-1.0,,7086,-0.11,,1.64
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,Africa,,9.3,,8.3,,18.1,80.9,,45.1,0.0,,7943,0.1,,1.61
San Marino,san-marino,Europe,,9.0,,8.9,3.4,6.2,84.2,,46.1,5.6,,35095,0.57,,1.54
Macau,macau,East and Southeast Asia,,8.6,,4.9,6.3,4.4,85.3,,42.5,3.1,,644426,0.67,,1.24
Puerto Rico,puerto-rico,Central America and the Caribbean,,7.8,,10.2,3.6,5.8,82.1,34,46.1,-9.6,,3019450,-1.2,,1.26
Hong Kong,hong-kong,East and Southeast Asia,,7.6,,8.1,4.0,2.5,84.0,,47.2,1.6,,7297821,0.12,,1.24
Taiwan,taiwan,East and Southeast Asia,,7.3,,8.1,,3.8,81.6,,44.6,1.1,,23595274,0.03,,1.11
Monaco,monaco,Europe,,6.5,,11.1,1.2,1.7,89.8,,56.9,11.7,,31813,0.71,,1.54
Saint Pierre and Miquelon,saint-pierre-and-miquelon,North America,,6.4,,11.7,,7.8,81.8,,51.2,-6.8,,5132,-1.21,,1.6
Cocos (Keeling) Islands,cocos-keeling-islands,Australia and Oceania,,,,8.89,,,,,40.0,,,593,,,
Christmas Island,christmas-island,Australia and Oceania,,,,,,,,,38.0,,,1692,1.11,,
Paracel Islands,paracel-islands,East and Southeast Asia,,,,,,,,,,-0.66,,1440,0.75,,
Tokelau,tokelau,Australia and Oceania,,,,,,,,,,-3.84,,1647,-0.01,,
Svalbard,svalbard,Europe,,,,,,,,,,-5.57,,2926,-0.03,,
Norfolk Island,norfolk-island,Australia and Oceania,,,,,,,,,,,,1748,0.01,,
